label,lda_logr_classes,lda_logr_distances,lda_gini_classes,lda_gini_distances,lda_perm_classes,lda_perm_distances,lda_shap_classes,lda_shap_distances,lda_uppr_classes,lda_uppr_distances,lda_lowr_classes,lda_lowr_distances,lda_allf_classes,lda_allf_distances
fireman-hollywood,"['superman-scissors', 'split-grip-pencil', 'shoulder-mount-split']","[0.02901116201655185, 0.7875570006052541, 1.0233770754915241]","['shoulder-mount-split', 'elbow-grip-seated', 'superman-scissors']","[0.19776351098309064, 0.5807507344426028, 1.0766872505490888]","['chair-passe', 'fireman-knee-hold', 'knee-hold-genie-release']","[0.04083252590930542, 0.08715724329570929, 0.21503291442635764]","['reverse-grab-pencil', 'leg-hang-scorpion-flatliner', 'elbow-grip-seated']","[0.2647071949798345, 0.5176450033945486, 1.5044114201794514]","['shoulder-mount-split', 'superman-scissors', 'elbow-grip-seated']","[0.5214540441814144, 0.6159264559065285, 1.5115524577228214]","['shoulder-mount-split', 'fireman-half-pike', 'superman-scissors']","[1.0655895621026161, 1.5386514027583473, 1.6593950981450938]","['elbow-grip-seated', 'fireman-half-pike', 'armpit-hold-seated']","[0.14408395155541953, 0.24446942143084982, 0.9617433627552145]"
fireman-knee-hold,"['fang-bracket-grip', 'armpit-hold-forward-pike', 'split-grip-stag']","[0.3678726559925778, 0.3892538717590952, 0.9830577480329126]","['reverse-grab-fang', 'fang-bracket-grip', 'fireman-piker']","[0.16948962728289274, 0.5399387975405219, 1.0810785834059118]","['fireman-hollywood', 'chair-passe', 'hook-knee-two-hands']","[0.08715724329570929, 0.1279897692050147, 0.30013230964916815]","['strong-hold-fang', 'baseball-back-support-grip-foward-pike', 'chair-seated']","[0.15317574237655407, 1.092595751452734, 1.378790809152484]","['split-grip-side-spin', 'strong-hold-corkscrew', 'fireman-piker']","[0.18089242595074495, 0.518341877907055, 0.7611243011597537]","['strong-hold-corkscrew', 'split-grip-side-spin', 'knee-hook-front']","[0.6942538288904103, 1.281949412660417, 1.5410870413462376]","['knee-hold-one-knee-genie', 'armpit-hold-forward-pike', 'baseball-back-support-grip-foward-pike']","[1.4648123319707693, 1.7609053939895958, 1.890713101315967]"
fireman-piker,"['split-grip-stag', 'reverse-grab-fang', 'fang-bracket-grip']","[0.05124173891429251, 0.29613216762243155, 0.6664268309546273]","['split-grip-stag', 'reverse-grab-fang', 'fireman-knee-hold']","[0.32889331684043555, 0.911588956123019, 1.0810785834059118]","['twisted-grip-inverted-straddle', 'split-grip-backward-split', 'one-hand-pencil']","[0.02644356488690036, 0.06686541930385292, 0.07950963151299284]","['split-grip-side-spin', 'strong-hold-fang', 'fireman-knee-hold']","[0.24381921827006892, 1.7021259256718793, 1.8553016680484333]","['split-grip-side-spin', 'fireman-knee-hold', 'armpit-hold-seated']","[0.5802318752090088, 0.7611243011597537, 0.8095915548581516]","['reverse-grab-ballerina', 'chair-seated', 'split-grip-pencil']","[0.1429239239526865, 0.5045168866905811, 0.8543216108402021]","['chair-seated', 'split-grip-straddle', 'reverse-grab-straddle']","[0.07874315636792772, 0.4336554301522355, 1.0293407474340057]"
fireman-seat,"['knee-hold-one-knee-genie', 'strong-hold-fang', 'knee-hook-back']","[0.0051710659691863725, 0.06508760057549523, 0.7218450113783206]","['armpit-hold-seated', 'knee-hook-back', 'knee-hold-remi-sit-release']","[0.3428164926648094, 1.0216775386848056, 1.2422742808726994]","['crossed-knee-release', 'knee-hold-bridge', 'elbow-grip-seated']","[0.21934216972328002, 0.2665397226419248, 0.3199665682362216]","['knee-hold-remi-sit-release', 'armpit-hold-seated', 'split-grip-stag']","[0.1800360720334595, 0.2249888075533235, 0.47861085351448196]","['split-grip-stag', 'knee-hold-remi-sit-release', 'knee-hook-back']","[0.06189298933775689, 0.5802995826050932, 0.8370784541997836]","['split-grip-straddle', 'armpit-hold-forward-pike', 'reverse-grab-pencil']","[0.1394406558782606, 1.7392715805103904, 2.0562348898357925]","['shoulder-mount-split', 'split-grip-pencil', 'baseball-back-support-grip-tuck']","[0.4230481082692421, 1.260099381882874, 1.3982141531488068]"
flag-grip-pencil,"['split-grip-inverted-d', 'leg-hang-gemini-foot-hold', 'forearm-grip-inverted-pencil']","[0.37295431880869856, 0.4866092024159592, 1.564079586827809]","['leg-hang-gemini-foot-hold', 'split-grip-inverted-d', 'thigh-hold-dragonfly-crossed']","[0.2423181894570412, 0.6092112045635076, 0.8631709971729471]","['stomach-hold-vertical-duchess', 'stomach-hold-passe-spaceflight', 'bridge']","[0.0029574345755780107, 0.0555605997769017, 0.06762881021999012]","['thigh-hold-dragonfly-crossed', 'forearm-grip-inverted-pencil', 'split-grip-inverted-pencil']","[0.07268854506805056, 0.3793732687311575, 0.7031299905147357]","['split-grip-inverted-butterfly-extended', 'split-grip-inverted-pencil', 'forearm-grip-inverted-pencil']","[0.23808164009734512, 0.6018866835628067, 1.234902251040232]","['forearm-grip-inverted-pencil', 'iguana-grip-pixie', 'iguana-grip-inverted-v']","[0.7476692289395004, 1.739078038909767, 1.7664067629014362]","['shoulder-mount-princess-grip-straddle', 'armpit-hold-passe', 'forearm-grip-inverted-pencil']","[0.24348292540487293, 0.24352814410612567, 0.5919328353096205]"
flag-grip-straddle,"['leg-hang-scorpion', 'split-grip-tucked-passe', 'leg-hold-inverted-crucifix']","[0.03994965955887331, 0.33736681003650304, 1.3023066520731907]","['armpit-hold-passe', 'shoulder-mount-hangman', 'knee-hold-genie-release']","[0.3389366093591182, 0.5152548767355523, 0.5471636125210928]","['strong-hold-inverted-split', 'shoulder-mount', 'bridge']","[0.04186682708012779, 0.163332209286582, 0.18027268270438052]","['leg-hold-crucifix', 'shoulder-mount-pencil', 'leg-hang-scorpion']","[0.030530884020021798, 1.1054515096800892, 1.1374740409285455]","['leg-hang-scorpion', 'leg-hold-crucifix', 'knee-hold-genie-release']","[0.09453835875025263, 0.11427435513984197, 0.4747915228311754]","['elbow-grip-straddle', 'back-hold-allergra-split', 'stomach-hold-inverted-tuck']","[0.0635688151740057, 0.22620776503356677, 0.26311205467693477]","['hook-knee-one-hand', 'shoulder-mount-hangman', 'shoulder-mount']","[0.05333593637276213, 0.30992502699830826, 1.2476355068743081]"
forearm-grip-inverted-pencil,"['iguana-grip-inverted-v', 'strong-hold-inverted-tuck', 'leg-hang-gemini-foot-hold']","[0.1196686537476701, 0.37915403148165794, 1.0774703844118498]","['shoulder-mount-jack-knife', 'split-grip-inverted-butterfly-extended', 'thigh-hold-release']","[0.5146104272058096, 0.7784911183679206, 1.6938708443419515]","['chair-pike', 'one-hand-pencil', 'split-grip-backward-split']","[0.008532209325601947, 0.016260892984846897, 0.028905105193986813]","['flag-grip-pencil', 'split-grip-inverted-butterfly-extended', 'thigh-hold-dragonfly-crossed']","[0.3793732687311575, 0.41410398808754323, 0.45206181379920807]","['thigh-hold-crescent-moon', 'leg-hang-gemini-foot-hold', 'flag-grip-pencil']","[0.6099769541198512, 0.9193247876590078, 1.234902251040232]","['flag-grip-pencil', 'split-grip-inverted-pencil', 'iguana-grip-pixie']","[0.7476692289395004, 2.381649764345209, 2.4867472678492675]","['armpit-hold-passe', 'shoulder-mount-princess-grip-straddle', 'shoulder-mount-jack-knife']","[0.3484046912034948, 0.34844990990474756, 0.511359467195355]"
forearm-grip-pencil,"['split-grip-side-v', 'one-hand-pencil', 'shoulder-mount-kick']","[1.1847142795298833, 1.9564614746694868, 2.293908348132584]","['split-grip-side-v', 'handstand-forearm-pencil', 'stomach-hold-vertical-duchess']","[0.4701240727164606, 0.7778330032534742, 1.050486292693475]","['shoulder-mount-plank-passe-hold', 'elbow-grip-pencil', 'armpit-hold-dart']","[0.18290097042092945, 0.2505841414814982, 0.26926790341465967]","['handstand-forearm-bow-and-arrow', 'handstand-forearm-pencil', 'strong-hold-inverted-split']","[0.47585442818633705, 0.8516797813042976, 1.0981031806689536]","['superman-armpit-grip', 'wrist-sit-straddle', 'split-grip-apprentice']","[0.10407501043638057, 0.14279181630974058, 0.5097362788028956]","['knee-hold-daredevil', 'knee-hold-marley', 'split-grip-front-split']","[1.0178106496664512, 1.202962693860453, 1.2213213300450665]","['knee-hold-marley-release', 'strong-hold-inverted-split', 'split-grip-side-v']","[0.4359610989989928, 0.9422578470003149, 1.5247351867007595]"
forearm-grip-side-spin,"['strong-hold-straddle', 'knee-hold-remi-sit', 'reverse-grab-attitude']","[5.735587776364703, 8.75083434419745, 9.481690147124489]","['knee-hold-remi-sit', 'strong-hold-straddle', 'forearm-grip-stag']","[3.9451376396781015, 7.320536542556098, 8.12636788338692]","['reverse-grab-straddle', 'iguana-grip-pixie', 'fang-bracket-grip']","[0.06601983048344578, 0.08421778969528004, 0.12443738875105781]","['strong-hold-straddle', 'knee-hold-remi-sit', 'forearm-grip-stag']","[7.077552338558938, 7.651837021090117, 8.234245761960437]","['forearm-grip-stag', 'strong-hold-straddle', 'superman']","[6.8243801900512295, 8.930818115923856, 13.054553336233283]","['superman', 'forearm-grip-stag', 'fang-bracket-grip']","[0.5809173398945262, 0.8311273900163627, 17.335110599058112]","['forearm-grip-stag', 'superman', 'strong-hold-fang']","[1.1881404839749194, 12.49605232904024, 17.358631077077092]"
forearm-grip-stag,"['superman', 'forearm-grip-side-spin', 'strong-hold-straddle']","[8.240564449144216, 9.598286031741608, 15.333873808106311]","['superman', 'forearm-grip-side-spin', 'knee-hold-remi-sit']","[7.500715363527931, 8.12636788338692, 12.07150552306502]","['knee-hold-marley', 'knee-hold-daredevil', 'thigh-hold-dragonfly-crossed']","[0.15307075951415072, 0.36960911218594106, 0.6486745525432589]","['superman', 'forearm-grip-side-spin', 'strong-hold-straddle']","[2.411686993217401, 8.234245761960437, 15.311798100519376]","['superman', 'forearm-grip-side-spin', 'strong-hold-straddle']","[6.230173146182054, 6.8243801900512295, 15.755198305975085]","['superman', 'forearm-grip-side-spin', 'fang-bracket-grip']","[0.2502100501218365, 0.8311273900163627, 18.166237989074475]","['forearm-grip-side-spin', 'superman', 'strong-hold-fang']","[1.1881404839749194, 13.684192813015159, 16.170490593102173]"
handstand-bridged,"['crossed-knee-release', 'elbow-grip-inverted-ayesha', 'tuck-hold']","[1.2250310011295937, 1.4769209808470407, 2.2433826940786403]","['iguana-grip-fang', 'tuck-hold', 'handstand-forearm-fang']","[0.09503225055853903, 0.8556817378532671, 1.3845637129658215]","['stomach-hold-duchess-passe', 'thigh-hold-dragon-fly', 'knee-hold-marley-release']","[0.028066270384158903, 0.0323190258365791, 0.0807935727239971]","['handstand-forearm-fang', 'tuck-hold', 'crossed-knee-release']","[1.0202090615219177, 1.4690743204015178, 1.8840317340555117]","['elbow-grip-inverted-ayesha', 'outside-knee-hook-inverted', 'handstand-forearm-fang']","[0.0476671603489649, 1.201684956709883, 2.3661591736953724]","['iguana-grip-fang', 'handstand-forearm-fang', 'crossed-knee-layback']","[0.6632841078382086, 3.850465483161045, 4.19254193476381]","['outside-knee-hook-inverted', 'stomach-hold-inverted-pike', 'iguana-grip-fang']","[1.0532703335168492, 2.3741169613568616, 6.061124643765012]"
handstand-butterfly,"['stomach-hold-inverted-tuck', 'elbow-grip-pencil', 'handstand-pole']","[0.913627254452674, 0.9466947901892127, 1.1774850637826795]","['handstand-pole', 'handstand-onehand', 'handstand-split']","[0.5917402174165609, 0.735669034544804, 0.8157519399245867]","['leg-hang-scorpion-hold', 'knee-hook-front', 'strong-hold-corkscrew']","[0.019757300236500797, 0.1204523969771083, 0.169288347453604]","['shoulder-mount-tuck', 'handstand-onehand', 'handstand-split']","[0.7808013961730307, 1.2375272248554818, 1.3001807041377251]","['handstand-pole', 'leg-hang-scorpion-hold', 'elbow-grip-pencil']","[1.0644851801733601, 1.3606517634574864, 1.5709833814141874]","['strong-hold-inverted-tuck', 'leg-hold-crucifix', 'knee-hold-cupid']","[0.0034586652955104213, 0.33597030298475516, 0.40901729148066934]","['elbow-grip-pencil', 'leg-hang-scorpion-hold', 'handstand-pole']","[0.3238212669361751, 0.38105787697735494, 0.4047580254916525]"
handstand-floor-handspring,"['knee-hold-bridge', 'stomach-hold-inverted-pike', 'outside-knee-hook-inverted']","[2.31292336335742, 3.8212657699277983, 5.090464342037876]","['knee-hold-bridge', 'crossed-knee-release', 'outside-knee-hook-inverted']","[0.16813030016996322, 4.117925863238511, 5.384443563759746]","['strong-hold-side-split', 'superman-armpit-grip', 'shoulder-mount-pencil']","[0.007254920698569478, 0.021933056445686105, 0.19228232461092443]","['knee-hold-bridge', 'outside-knee-hook-inverted', 'elbow-grip-inverted-ayesha']","[1.5474627832617358, 2.2221242525682214, 4.678023197380064]","['outside-knee-hook-inverted', 'handstand-bridged', 'elbow-grip-inverted-ayesha']","[1.3569787488595466, 2.5586637055694297, 2.6063308659183946]","['elbow-grip-inverted-ayesha', 'crossed-knee-stargazer', 'crossed-knee-layback']","[1.6811245372108061, 2.3325503484248316, 4.26204485818316]","['crossed-knee-layback', 'leg-hang-needle', 'crossed-knee-stargazer']","[0.45514469282665004, 4.509095298917998, 5.209366437793534]"
handstand-forearm-attitude,"['split-grip-inverted-pencil', 'shoulder-mount-princess-grip-straddle', 'iguana-grip-pixie']","[0.7885781151128128, 0.9679293265886031, 1.3089997000249198]","['leg-hang-scorpion-hold', 'stomach-hold-inverted-tuck', 'split-grip-inverted-pencil']","[0.21647684644130294, 0.4143828565913843, 0.6512726627908165]","['strong-hold-fang', 'leg-hang-needle', 'strong-hold-corkscrew']","[0.0459272989543682, 0.2987858696141781, 0.3303975252344955]","['leg-hang-scorpion-hold', 'ankle-grip-bow-and-arrow', 'elbow-grip-pencil']","[0.28934484013768014, 1.3527659625645292, 1.7819675375323278]","['strong-hold-inverted-tuck', 'split-grip-inverted-pencil', 'split-grip-inverted-butterfly-extended']","[0.02349337769158666, 0.8282427893051185, 1.1920478327705801]","['handstand-pole', 'leg-hold-inverted-crucifix', 'hook-knee-one-hand']","[0.27909360713593756, 1.1314882643190547, 1.312862507166333]","['ankle-grip-bow-and-arrow', 'shoulder-mount-tuck', 'split-grip-inverted-pencil']","[2.076553759265373, 2.53264954157515, 2.549351940680509]"
handstand-forearm-bow-and-arrow,"['knee-hold-genie', 'knee-hold-cupid', 'leg-hold-inverted-crucifix-release']","[0.44172763529345893, 0.5385435602318855, 0.8491557997577648]","['stomach-hold-vertical-duchess', 'handstand-forearm-pencil', 'split-grip-side-v']","[0.4350817886101934, 0.7077350780501943, 1.0154440085872078]","['split-grip-side-v', 'stomach-hold-inverted-pike', 'shoulder-mount-hangman']","[0.005583343902062943, 0.08533391590360662, 0.0906147362545413]","['forearm-grip-pencil', 'strong-hold-inverted-split', 'handstand-forearm-pencil']","[0.47585442818633705, 0.6222487524826166, 1.3275342094906346]","['split-grip-backward-split', 'iguana-grip-pencil', 'knee-hold-daredevil']","[0.13839816479558653, 0.2168424362034882, 0.3236160165580433]","['stomach-hold-passe-spaceflight', 'knee-hold-marley-release', 'strong-hold-inverted-split']","[0.09038988927896696, 1.0856206135827406, 1.9098054356162422]","['armpit-hold-front-split', 'leg-hold-inverted-crucifix-release', 'handstand-forearm-pencil']","[0.24015470929530114, 1.3439860171688025, 1.96616394599633]"
handstand-forearm-fang,"['tuck-hold', 'handstand-bridged', 'crossed-knee-layback']","[0.37510344458426914, 2.6184861386629095, 2.769100267896782]","['crossed-knee-layback', 'iguana-grip-fang', 'handstand-bridged']","[0.5574272986318292, 1.2895314624072824, 1.3845637129658215]","['hook-knee-one-hand', 'outside-knee-hook-inverted', 'reverse-grab-attitude']","[0.12054378590043413, 0.250515350598258, 0.26387339920742825]","['tuck-hold', 'handstand-bridged', 'shoulder-mount-straddle']","[0.44886525887960005, 1.0202090615219177, 2.845614767157734]","['tuck-hold', 'elbow-grip-inverted-ayesha', 'handstand-bridged']","[1.773435026308725, 2.3184920133464075, 2.3661591736953724]","['handstand-bridged', 'iguana-grip-fang', 'outside-knee-hook-inverted']","[3.850465483161045, 4.513749590999254, 6.144022122345497]","['twisted-grip-inverted-straddle', 'iguana-grip-fang', 'crossed-knee-release']","[4.363218747845053, 5.166179301963879, 5.549554747631262]"
handstand-forearm-passe,"['bridge', 'armpit-hold-passe', 'split-grip-tucked-passe']","[0.10227758951397092, 0.21936648966773653, 2.293229682142508]","['split-grip-tucked-passe', 'knee-hold-genie-release', 'armpit-hold-passe']","[0.35972507422002487, 0.4344908676822623, 0.6427178708442369]","['split-grip-tucked-passe', 'fang-bracket-grip', 'reverse-grab-fang']","[0.05228132893698656, 0.31008700072334494, 0.3339528108477805]","['leg-hold-inverted-crucifix', 'shoulder-mount-lock', 'bridge']","[0.014954144769147248, 0.31693053881635436, 1.4410888370513186]","['iguana-grip-pixie', 'thigh-hold-dragonfly-crossed', 'shoulder-mount-lock']","[0.8437230382302197, 1.461349589525664, 2.4862595419629283]","['iguana-grip-pencil', 'stomach-hold-duchess-passe', 'knee-hold-marley']","[0.1913550515076219, 1.625007784054664, 1.9107425694870575]","['leg-hold-crucifix', 'shoulder-mount', 'strong-hold-side-split']","[0.2662812536300816, 0.821738556476431, 0.8291217371136521]"
handstand-forearm-pencil,"['split-grip-backward-split', 'armpit-hold-front-split', 'hook-knee-one-hand']","[0.11633620334394656, 0.7198575080078964, 1.0129365268312291]","['stomach-hold-vertical-duchess', 'split-grip-side-v', 'handstand-forearm-bow-and-arrow']","[0.2726532894400009, 0.30770893053701354, 0.7077350780501943]","['iguana-grip-pencil', 'thigh-hold-crescent-moon', 'shoulder-mount-princess-grip-straddle']","[0.03402040990086164, 0.3181825033205996, 0.32422790615456165]","['split-grip-side-v', 'forearm-grip-pencil', 'stomach-hold-vertical-duchess']","[0.38596649541769956, 0.8516797813042976, 1.036335958535239]","['shoulder-mount-attitude', 'armpit-hold-front-split', 'armpit-hold-scorpion']","[0.7177570460371148, 0.7268067622820862, 0.7543610118090491]","['back-hold-allergra', 'chair-passe', 'one-hand-pencil']","[0.11629989636512406, 0.20167929944133434, 0.548347484731778]","['leg-hold-inverted-crucifix-release', 'armpit-hold-scorpion', 'split-grip-side-v']","[0.6221779288275275, 0.6442173096651445, 0.6920263635986679]"
handstand-onehand,"['stomach-hold-front-split', 'handstand-split', 'handstand-butterfly']","[0.13011909633021013, 0.5346197435984621, 2.908482409209501]","['handstand-split', 'handstand-pole', 'handstand-butterfly']","[0.08008290537978269, 0.14392881712824313, 0.735669034544804]","['leg-hang-scorpion', 'elbow-grip-butterfly', 'strong-hold-inverted-split']","[0.012845577826984256, 0.13697221748807564, 0.15918260908995463]","['handstand-split', 'shoulder-mount-tuck', 'handstand-butterfly']","[0.0626534792822433, 0.45672582868245115, 1.2375272248554818]","['handstand-split', 'stomach-hold-front-split', 'shoulder-mount-lock']","[0.15534903738712913, 0.22743994651516886, 0.2622408783379928]","['armpit-hold-dart', 'shoulder-mount-lock', 'shoulder-mount']","[0.1990256973515594, 0.3374394996855683, 0.8630843837565223]","['split-grip-tucked-passe', 'handstand-split', 'split-grip-cupid']","[0.367248632957228, 0.6204763197119991, 2.079556007898109]"
handstand-pole,"['elbow-grip-pencil', 'stomach-hold-inverted-tuck', 'handstand-butterfly']","[0.23079027359346682, 0.26385780933000547, 1.1774850637826795]","['handstand-onehand', 'handstand-split', 'handstand-butterfly']","[0.14392881712824313, 0.2240117225080258, 0.5917402174165609]","['split-grip-inverted-pencil', 'shoulder-mount-jack-knife', 'split-grip-pancake-split']","[0.01015609917231508, 0.04674141051487535, 0.14588874359577098]","['armpit-hold-passe', 'stomach-hold-front-split', 'handstand-butterfly']","[0.6323719527951024, 1.3590462886337367, 2.0634241907067974]","['leg-hang-scorpion-hold', 'elbow-grip-pencil', 'armpit-hold-passe']","[0.29616658328412626, 0.5064982012408272, 0.9357862466044438]","['handstand-forearm-attitude', 'leg-hold-inverted-crucifix', 'hook-knee-one-hand']","[0.27909360713593756, 0.8523946571831171, 1.0337689000303953]","['elbow-grip-pencil', 'handstand-butterfly', 'leg-hang-scorpion-hold']","[0.08093675855547744, 0.4047580254916525, 0.7858159024690075]"
handstand-split,"['stomach-hold-front-split', 'handstand-onehand', 'handstand-butterfly']","[0.40450064726825197, 0.5346197435984621, 2.373862665611039]","['handstand-onehand', 'handstand-pole', 'handstand-butterfly']","[0.08008290537978269, 0.2240117225080258, 0.8157519399245867]","['elbow-grip-straddle', 'split-grip-inverted-butterfly-extended', 'thigh-hold-release']","[0.01226526882537815, 0.052741468976468475, 0.0795542081074192]","['handstand-onehand', 'shoulder-mount-tuck', 'handstand-butterfly']","[0.0626534792822433, 0.5193793079646944, 1.3001807041377251]","['stomach-hold-front-split', 'handstand-onehand', 'shoulder-mount-tuck']","[0.07209090912803973, 0.15534903738712913, 0.17117030365059094]","['shoulder-mount-hangman', 'armpit-hold-front-split', 'armpit-hold-scorpion']","[0.214326354394335, 0.3351543035509157, 0.4290448695745872]","['handstand-onehand', 'split-grip-tucked-passe', 'split-grip-cupid']","[0.6204763197119991, 0.9877249526692271, 1.45907968818611]"
handstand-tucked,"['split-grip-inverted-fang', 'elbow-grip-fang', 'stomach-hold-inverted-pike']","[1.6555539984342431, 3.2276075410995446, 5.861187756473996]","['stomach-hold-inverted-pike', 'split-grip-inverted-fang', 'elbow-grip-fang']","[0.9980500804840631, 1.5055912615993492, 4.586218632366098]","['iguana-grip-fang', 'knee-hold-genie-release', 'chair-passe']","[0.03990051338987666, 0.08474019850643977, 0.258940587023492]","['split-grip-inverted-fang', 'elbow-grip-fang', 'knee-hold-bridge']","[3.20724999375372, 3.791654873316247, 7.6587834699061474]","['elbow-grip-fang', 'split-grip-inverted-fang', 'stomach-hold-inverted-pike']","[1.8189156615352573, 4.345883246878458, 4.649790647471434]","['tuck-hold', 'leg-hang-needle', 'shoulder-mount-straddle']","[0.06398729701731298, 0.6326781826446819, 0.9363768106705948]","['elbow-grip-inverted-ayesha', 'tuck-hold', 'crossed-knee-stargazer']","[0.09806798713189124, 4.647319827469325, 4.968217601835654]"
hook-knee-one-hand,"['stomach-hold-vertical-duchess', 'armpit-hold-front-split', 'shoulder-mount-attitude']","[0.22117516062619202, 0.29307901882333276, 0.3082660541801667]","['knee-hold-cupid', 'shoulder-mount-attitude', 'strong-hold-inverted-split']","[0.03330081310276256, 0.09357544159418296, 0.6008725812506124]","['handstand-forearm-fang', 'reverse-grab-attitude', 'split-grip-inverted-butterfly']","[0.12054378590043413, 0.14332961330699412, 0.1579400403720559]","['shoulder-mount-attitude', 'iguana-grip-bow-and-arrow', 'knee-hold-daredevil']","[0.03465004491885937, 0.055094033777637996, 0.8214584065991823]","['knee-hold-genie', 'shoulder-mount', 'stomach-hold-duchess-passe']","[0.12049564664282286, 0.8234146653199543, 0.8415302710410684]","['leg-hold-inverted-crucifix', 'handstand-pole', 'handstand-forearm-attitude']","[0.1813742428472782, 1.0337689000303953, 1.312862507166333]","['flag-grip-straddle', 'shoulder-mount-hangman', 'shoulder-mount']","[0.05333593637276213, 0.25658909062554613, 1.194299570501546]"
hook-knee-two-hands,"['elbow-grip-seated', 'one-hand-twisted-lateral-spin', 'superman-scissors']","[0.8403883505218914, 1.1797014449374785, 2.430107599203243]","['superman-scissors', 'shoulder-mount-split', 'fireman-hollywood']","[0.5844993138604337, 1.4634230534264319, 1.6611865644095225]","['fireman-knee-hold', 'baseball-back-support-grip-tuck', 'shoulder-mount-tuck']","[0.30013230964916815, 0.3164311267446873, 0.3667131455143062]","['stomach-hold-passe-spaceflight', 'knee-hold-marley-release', 'one-hand-twisted-lateral-spin']","[0.8148460394255181, 1.8845650375048528, 2.277889001742853]","['knee-hold-marley-release', 'stomach-hold-passe-spaceflight', 'pole-walk']","[0.8839781842817445, 2.2262307557472987, 2.269653868039157]","['leg-hold-inverted-crucifix-release', 'wrist-sit-straddle', 'superman-armpit-grip']","[0.0044208817282545, 0.24129466955153944, 0.2892918156880313]","['back-hold-allergra', 'superman-armpit-grip', 'stomach-hold-vertical-duchess']","[1.251367601567754, 1.406665678091887, 1.5425837052933353]"
iguana-grip-bow-and-arrow,"['split-grip-cupid', 'strong-hold-side-split', 'iguana-grip-pencil']","[0.13424885320513535, 0.5336713294135618, 0.6458006638206526]","['shoulder-mount-tuck', 'strong-hold-side-split', 'shoulder-mount-lock']","[1.017693881314428, 1.3238729898606048, 1.412489075176162]","['superman-scissors', 'strong-hold-inverted-straddle', 'one-hand-twisted-lateral-spin']","[0.05200185309870209, 0.3784490090914123, 0.4315671801423866]","['hook-knee-one-hand', 'shoulder-mount-attitude', 'knee-hold-daredevil']","[0.055094033777637996, 0.08974407869649736, 0.8765524403768203]","['shoulder-mount-kick', 'leg-hold-inverted-crucifix-release', 'split-grip-apprentice']","[0.6808916914434207, 0.9322636310046661, 1.290013040992088]","['split-grip-apprentice', 'chair-passe', 'handstand-forearm-pencil']","[0.7986097085005639, 0.9977037610921222, 1.1993830605334566]","['back-hold-allergra-split', 'split-grip-tucked-spin', 'cross-grip-straddle']","[0.09677108213547769, 0.3488996870788763, 0.8434865001502578]"
iguana-grip-fang,"['crossed-knee-stargazer', 'split-grip-inverted-butterfly', 'leg-hang-needle']","[0.5579635502914968, 0.8972891333546755, 1.9413649052970428]","['handstand-bridged', 'tuck-hold', 'handstand-forearm-fang']","[0.09503225055853903, 0.9507139884118061, 1.2895314624072824]","['handstand-tucked', 'knee-hold-genie-release', 'chair-passe']","[0.03990051338987666, 0.12464071189631643, 0.29884110041336864]","['crossed-knee-stargazer', 'leg-hang-needle', 'split-grip-inverted-butterfly']","[0.26985280627008734, 0.9175164728205019, 2.250611321184394]","['strong-hold-inverted-straddle', 'thigh-hold-dragon-fly', 'leg-hang-gemini']","[0.47149989918580815, 0.5450744668336682, 1.45940139110008]","['handstand-bridged', 'crossed-knee-layback', 'handstand-forearm-fang']","[0.6632841078382086, 3.529257826925601, 4.513749590999254]","['outside-knee-hook-inverted', 'handstand-forearm-fang', 'handstand-bridged']","[5.007854310248163, 5.166179301963879, 6.061124643765012]"
iguana-grip-inverted-v,"['forearm-grip-inverted-pencil', 'strong-hold-inverted-tuck', 'thigh-hold-crescent-moon']","[0.1196686537476701, 0.25948537773398783, 1.0942753899160778]","['strong-hold-inverted-tuck', 'outside-knee-hook-jasmine', 'leg-hang-gemini']","[0.2912606420666535, 0.5029328268506248, 0.7437936044433826]","['baseball-back-support-grip-foward-pike', 'elbow-grip-straddle', 'handstand-split']","[0.05126490545821216, 0.07949996098195555, 0.0917652298073337]","['leg-hang-gemini', 'stomach-hold-inverted-tuck', 'leg-hang-gemini-foot-hold']","[0.7571201450946461, 0.7861180206009415, 1.7507927101700815]","['thigh-hold-release', 'ankle-grip-bow-and-arrow', 'handstand-forearm-attitude']","[0.9528939335970072, 1.3448840499654935, 1.5421970079581904]","['iguana-grip-pixie', 'elbow-grip-butterfly', 'flag-grip-pencil']","[0.02732872399166908, 0.18968002833859288, 1.7664067629014362]","['split-grip-inverted-d', 'thigh-hold-crescent-moon', 'shoulder-mount-jack-knife']","[0.0004039415237500066, 1.6137017187704288, 2.5966925493750317]"
